question,choices,answer,level,subject
"A consumer bought a lawn mower from a department store. It has a prominent notice on it that it should not be used on a steep hill. The consumer did not read the notice and used the machine on a steep hill. As a result, it falls over and crushes him. He sues on a theory of strict liability, alleging a defect in the manufacture of the product. The manufacturer defends that the consumer misused the product. Will the Court likely grant the defendant's motion for summary judgment based on the indisputable fact that the consumer did not read the warning, which the defendant argued renders the lawsuit invalid as a matter of law?","['A. No, because contributory negligence is not a defense to strict liability in a products liability case.', 'B. No, because the product was defective and unreasonably dangerous.', 'C. Yes, because the consumer assumed the risk of the danger when he used the product on a steep hill.', 'D. Yes, because the consumer ignored the warning and misused the product.']","D. Yes, because the consumer ignored the warning and misused the product.",professional,law
"A woman has been charged with felony murder for holding up a convenience store and shooting the clerk during the course of the robbery. The prosecutor now wishes to introduce the testimony of a bystander who was in the parking lot and saw the shooting through a nearby window. The bystander proposes to testify that he heard a customer in the store scream out, ""Knock that gun away! Don't let her do it again!""This evidence is admissible","['A. as non-hearsay.', 'B. if the bystander can be shown to have been a co-conspirator.', 'C. as an excited utterance.', 'D. as a statement made under belief of impending death.']",C. as an excited utterance.,professional,law
"A man was out taking a walk one evening when he realized that he needed to use a bathroom. The closest building was a private gymnasium. The man approached the building, and saw a sign on the door that said, ""Members only No restroom facilities available for non-members. "" The owner of the gym hung up the sign because he knew that people frequently entered the gym just to use the restroom, and he was annoyed by this. However, the owner of the gym knew that the sign was not effective and that people still regularly entered the gym just to use the restroom. The man needed to use the bathroom very urgently, so he entered the building despite the sign. The restrooms were near the front door of the gymnasium. The man walked directly to the restroom as soon as he entered the building. The clerk working at the front desk in the gymnasium was busy and did not notice the man enter the building or the restroom. After making use of the restroom facilities, the man washed his hands and proceeded to turn on the electric blow dryer. The dryer, because of a malfunctioning heating coil, emitted intense heat, which caused severe burns to the man's hands. The man was unaware of the fact that 15 minutes earlier, a gym member had received similar injuries from the malfunctioning dryer and notified the gym's owner. The owner immediately taped a ""DO NOT USE"" sign to the dryer. However, the sign had fallen to the floor and was lying face down under the bathroom sink when the man was making use of the restroom. Which of the following would best describe the duty of care that the gym owed to the man?","['A. No duty of care.', 'B. A duty to inspect the premises for unknown dangers and to disclose their existence to others.', 'C. A duty to warn of any known dangerous conditions on the premises.', 'D. An absolute duty of care.']",C. A duty to warn of any known dangerous conditions on the premises.,professional,law
"A hardware store had a public pay telephone attached to the outside wall of its building. The telephone was owned and operated by the local telephone company. On Thursday, November 25, the store was closed for Thanksgiving. A resident, who lived two doors away, walked to the hardware store to use the telephone. He wanted to call his son and daughter- in-law to wish them a happy Thanksgiving, but his home phone was out of order. The resident picked up the receiver, inserted coins for the cost of the call, and promptly received an electric shock. Although the resident was momentarily stunned, he did not suffer any pain or injuries. Unbeknownst to the resident, a technician employed by the telephone company had incorrectly rewired the telephone the previous day, causing a short circuit in the telephone mechanism. If the resident institutes a personal injury action for negligence against the telephone company, he will most likely","[""A. recover, because the technician's error would constitute the proximate cause of the resident's injuries. "", ""B. recover, because the technician's error was a substantial factor in causing the resident's injuries. "", 'C. recover, under the doctrine of respondeat superior', 'D. not recover, because the resident did not suffer any injuries. ']","D. not recover, because the resident did not suffer any injuries. ",professional,law
"A small electronics corporation decided to radically overhaul its manufacturing processes and borrowed $200,000 from the bank for this purpose. The loan was secured by a mortgage on the corporation's plant and building site. When the debt came due, the corporation was short of ready cash and the bank threatened to foreclose. One of the shareholders of the corporation then intervened on behalf of the corporation and told the bank officials that if they would refrain from any legal action against the company for a year, she would personally see that the debt was paid. The bank orally agreed to the shareholder's arrangement. However, it was never reduced to writing. The bank's promise to the shareholder to refrain from foreclosing on the mortgage would constitute","['A. a void promise at the time of inception.', 'B. a voidable promise as violative of the statute of frauds.', 'C. an unenforceable promise, because the corporation had a pre-existing duty to pay the debt at maturity. ', 'D. an enforceable promise, binding the shareholder as a surety. ']",B. a voidable promise as violative of the statute of frauds.,professional,law
"A state assemblyman made a visit to a foreign country. To protest U. S. foreign policy, the assemblyman and the foreign country's leader issued a joint statement criticizing the United States' involvement in the political affairs of neighboring countries. Following the assemblyman's return to the United States, he was prosecuted under a federal criminal statute making it unlawful for any citizen not specifically authorized by the President to negotiate with a foreign government for the purpose of influencing the foreign government in relation to a dispute with the United States. The law further provides that ""any citizen who knowingly counsels, aids, or abets a foreign government in a dispute with the United States. . , shall, upon conviction. . . be punished by imprisonment for not more than five years or a fine of not more than $10,000, or by both fine and imprisonment. . . . ""Which of the following is the strongest constitutional basis for upholding the validity of the aforementioned federal statute?","['A. Federal criminal laws dealing with international affairs need not be as specific as those dealing with domestic affairs.', 'B. Under its enumerated powers, Congress may legislate to preserve the monopoly of the national government over the conduct of U. S. foreign affairs.', ""C. The President's inherent power to negotiate for the U. S. with foreign countries authorizes him to punish citizens who engage in such negotiations without permission, even in the absence of statutory authorization."", 'D. Article I, Section 8 of the Constitution grants Congress concurrent power with the President to regulate external affairs with foreign countries.']","B. Under its enumerated powers, Congress may legislate to preserve the monopoly of the national government over the conduct of U. S. foreign affairs.",professional,law
"A student was a junior criminology major at state university and a member of a fraternity. While new members were pledging the fraternity, the student had a reputation for initiating pranks and hazing the pledges. Late one night, after a fraternity party, the student decided to kidnap one of the pledges. Enlisting the help of his friend, they grabbed the pledge, tied him up, and locked him in the trunk of the student's car. They then drove into the downtown section of a city where they dropped the pledge at a street corner. While the pledge was wandering around and trying to find a telephone booth, a gang of youths saw his predicament and attacked him. The pledge, who was severely beaten, suffered a broken nose, multiple lacerations, and contusions. When the pledge finally returned to the school, he filed a criminal complaint against the student who was charged with violating a state law, which provides:""Every person who hazes a student and thereby is responsible for causing bodily harm to said student is guilty of a felony punishable by three years in prison. ""At thai, the prosecuting attorney called the student's alleged accomplice as a witness. The friend refused to answer any questions and was cited for contempt. After the friend left the witness stand, the prosecutor offered into evidence a transcript of the friend's testimony given at the student's preliminary hearing. At the preliminary hearing, the friend testified under oath that he and the student were responsible for hazing the pledge and driving the victim against his will to the city. During the preliminary hearing, the friend was also cross-examined by the student's defense counsel. Over defense objections, the trial court admitted the transcript of the friend's testimony at the preliminary hearing. Thereafter, the student was convicted of violating the aforementioned hazing statute. The student appeals the conviction and contends that the admission of the transcript of the friend's testimony at the preliminary hearing violated his Sixth Amendment right of confrontation. As to this claim, the student's appeal will most likely be","['A. granted, because there was no opportunity to cross-examine the witness at trial.', 'B. granted, because in order to admit prior testimony, the witness must be shown to be unavailable.', 'C. denied, because the witness was unavailable, and there was adequate opportunity for crossexamination at the preliminary hearing.', 'D. denied, because the testimony was a statement by a co-conspirator and, therefore, admissible as a recognized exception to the hearsay rule.']","C. denied, because the witness was unavailable, and there was adequate opportunity for crossexamination at the preliminary hearing.",professional,law
The presence of an extra digit is referred to as __________.,"['A. arachnodactyly', 'B. brachydactyly', 'C. clinodactyly', 'D. polydactyly']",D. polydactyly,professional,medical_genetics
Which of the following statements about heritability are true?,"['A. is a measure of the level of heterozygotes in a population', 'B. is a measure of the proportion of variation that is due to genetic causes', 'C. is a measure of proportion of repeated DNA in an organism', 'D. is a measure of level of gene linkage']",B. is a measure of the proportion of variation that is due to genetic causes,professional,medical_genetics
X-chromosome inactivation,"['A. results in genetically turning off one of the two X chromosomes in female mammals', 'B. takes place in humans so that the same X chromosome is inactive in all of the cells of a female', 'C. is the cause of the Y chromosome being genetically inactive', 'D. occurs in fruit flies but not in mammals']",A. results in genetically turning off one of the two X chromosomes in female mammals,professional,medical_genetics
It is currently estimated that there are ______ human protein-coding genes although this estimate may be reduced over time.,"['A. 10,000–15,000', 'B. 19,000–20,000', 'C. 29,000–30,000', 'D. 100,000']","B. 19,000–20,000",professional,medical_genetics
Plasmid vectors for cloning,"['A. can generally accommodate larger inserts than phage vectors can', 'B. grow within bacteria, and are present in bacterial colonies on an agar plate', 'C. can accommodate inserts of over 100 kilobases', 'D. include centromeres to allow propagation in yeast']","B. grow within bacteria, and are present in bacterial colonies on an agar plate",professional,medical_genetics
Enzyme assay can be used to identify carriers of:,"['A. Cystic fibrosis.', 'B. Fragile X syndrome.', 'C. Oculocutaneous albinism.', 'D. Tay-Sachs disease.']",D. Tay-Sachs disease.,professional,medical_genetics
Which of the following conditions is not caused by a mutation in FGFR3?,"['A. Achondroplasia', 'B. Crouzon syndrome', 'C. Thanatophoric dysplasia', 'D. Waardenburg syndrome']",D. Waardenburg syndrome,professional,medical_genetics
Autozygosity mapping is used to map disorders that show which pattern of inheritance?,"['A. Autosomal dominant', 'B. Autosomal recessive', 'C. X-linked dominant', 'D. X-linked recessive']",B. Autosomal recessive,professional,medical_genetics
"______ has been described as the phenomenon by which one genotype can give rise to a range of different physiological or morphological states in response to different environmental conditions during development (West-Eberhard, 1989).","['A. Fetal plasticity', 'B. The fetal origins hypothesis', 'C. Developmental plasticity', 'D. Environmental plasticity']",C. Developmental plasticity,professional,medical_genetics
Pseudocholinesterase deficiency is associated with increased sensitivity to what?,"['A. Fava beans', 'B. Halothane', 'C. Primaquine', 'D. Succinylcholine']",D. Succinylcholine,professional,medical_genetics
"Regarding exons, which, if any, of the following statements is correct?","['A. Some exons in protein-coding genes consist of noncoding DNA.', 'B. The first exon of a protein-coding gene always contains the translational start site.', 'C. The last exon of a protein-coding gene always contains the normal termination codon.', 'D. A coding exon is always translated in just one of the three possible forward reading frames.']",A. Some exons in protein-coding genes consist of noncoding DNA.,professional,medical_genetics
Marked microsatellite instability is a feature of:,"['A. familial adenomatous polyposis.', 'B. hereditary non-polyposis colon cancer (HNPCC).', 'C. multiple endocrine adenomatosis type 2.', 'D. neurofibromatosis 1.']",B. hereditary non-polyposis colon cancer (HNPCC).,professional,medical_genetics
Which of the following trisomy karyotypes has the mildest effect on human development?,"['A. 47,XXX', 'B. 47,XXY', 'C. 47,XX,+13', 'D. 47,XY,+21']","A. 47,XXX",professional,medical_genetics
Positional cloning refers to,"['A. using a selection procedure to clone a cDNA', 'B. cloning a portion of a gene using PCR', 'C. isolating a gene by PCR using primers from another species', 'D. mapping a gene to a chromosomal region and then identifying and cloning a genomic copy of the gene from the region']",D. mapping a gene to a chromosomal region and then identifying and cloning a genomic copy of the gene from the region,professional,medical_genetics
"The epigenetic inheritance system has been described as ______ (Mayr and Provine, 1980).","['A. genotype inheritance', 'B. soft inheritance', 'C. RNA inheritance', 'D. hard inheritance']",B. soft inheritance,professional,medical_genetics
"A 67-year-old woman comes to the physician for her first influenza virus vaccination. She has a history of untreated hypertension. Her blood pressure is 160/100 mm Hg, and pulse is 100/min. Shortly after administration of the influenza virus vaccine, she develops shortness of breath, hives, and angioedema. Which of the following is most likely to have prevented this reaction?","['A. Inquiry about an egg allergy', 'B. Heterophile agglutination test', 'C. Skin test with histamine reagent', 'D. β-Adrenergic blocking agent therapy']",A. Inquiry about an egg allergy,professional,medicine
"A previously healthy 27-year-old nulligravid woman comes to the emergency department because of a 2-day history of moderate-to-severe pain and swelling of the left labia. She is sexually active and uses condoms inconsistently. Her temperature is 37.2°C (99°F), pulse is 92/min, respirations are 18/min, and blood pressure is 115/75 mm Hg. Pelvic examination shows a 4 x 3-cm, tender, fluctuant mass medial to the left labium majus compromising the introital opening. Which of the following is the most appropriate next step in management?","['A. Administration of intravenous metronidazole', 'B. Administration of intravenous penicillin G', 'C. Ultrasound-guided needle aspiration of the mass', 'D. Incision and drainage']",D. Incision and drainage,professional,medicine
"A 17-year-old boy is brought to the emergency department 30 minutes after being found with a ""blank stare"" and flat facial expression at a party. His pulse is 72/min, and blood pressure is 104/68 mm Hg. He is sitting upright and appears catatonic. Physical examination shows rigidity. During the examination, he becomes hostile and attempts to assault the physician. This patient most likely ingested which of the following drugs?","['A. Diazepam', 'B. Methamphetamine', 'C. Oxycodone', 'D. PCP (phencyclidine)']",D. PCP (phencyclidine),professional,medicine
"A male neonate, who was born at 36 weeks' gestation 2 hours ago in the labor and delivery unit of the hospital, now shows signs of respiratory difficulty. The mother, an 18-year-old primigravid woman, smoked one pack of cigarettes daily throughout her pregnancy. She received prenatal care during most of the pregnancy. One episode of chlamydial cervicitis was detected during the last trimester and treated with azithromycin. The neonate was born via cesarean delivery due to fetal heart rate decelerations. The amniotic fluid was stained with light particulate meconium. Apgar scores were 9 and 9 at 1 and 5 minutes, respectively. The patient is 50 cm (20 in; 50th percentile) long and weighs 3005 g (6 lb 10 oz; 50th percentile); head circumference is 35 cm (14 in; 50th percentile). The infant's vital signs now are temperature 36.6°C (97.8°F), pulse 150/min, and respirations 70/min. Pulse oximetry on room air shows an oxygen saturation of 95%. Physical examination discloses mild subcostal and intercostal retractions. Chest x-ray shows prominent pulmonary vascular markings and fluid in the intralobar fissures. Which of the following is the most likely diagnosis?","['A. Group B streptococcal sepsis', 'B. Meconium aspiration syndrome', 'C. Respiratory distress syndrome', 'D. Transient tachypnea of newborn']",D. Transient tachypnea of newborn,professional,medicine
"A 14-year-old girl with a 9-year history of type 1 diabetes mellitus is brought to the physician by her mother for a follow-up examination. She has been admitted to the hospital twice in the past 3 months because of diabetic ketoacidosis. She previously had been compliant with monitoring her blood glucose concentration and with her diet and insulin regimen. She acknowledges that, when she is with her peers, she eats whatever she wants and does not check her blood glucose concentration. She adds, ""I'm embarrassed to inject myself in front of them."" The physician is having a great deal of difficulty with her 15-year-old son who has been truant from school and sneaking out of the house. She says to the patient, ""You should be ashamed for not taking care of yourself. We've all worked so hard to keep you healthy."" Which of the following terms best describes the physician's reaction to the patient?","['A. Countertransference', 'B. Identification with the aggressor', 'C. Projection', 'D. Splitting']",A. Countertransference,professional,medicine
A 55-year-old man has had crushing substernal chest pain on exertion over the past 6 weeks. He had a myocardial infarction 2 months ago. He takes nitroglycerin as needed and one aspirin daily. He has smoked two packs of cigarettes daily for 30 years. Examination shows normal heart sounds and no carotid or femoral bruits. Treatment with a β-adrenergic blocking agent is most likely to improve his symptoms due to which of the following mechanisms?,"['A. Decreasing myocardial contractility', 'B. Dilating the coronary arteries', 'C. Peripheral vasodilation', 'D. Preventing fibrin and platelet plugs']",A. Decreasing myocardial contractility,professional,medicine
"A 19-year-old Asian female college student comes to the university health center because of a 1-week history of nasal stuffiness, occasional clear rhinorrhea, and a mild sore throat. Two days ago, she began to feel hot, but she has not taken her temperature. Medical history is unremarkable and her only medication is an oral contraceptive. She has no history of allergies. She does not smoke cigarettes. BMI is 22 kg/m2 . Vital signs are temperature 38.1°C (100.6°F), pulse 88/min, respirations 16/min, and blood pressure 116/74 mm Hg. Physical examination discloses tenderness over the left maxillary sinus without purulent drainage. There is clear fluid behind the left tympanic membrane, enlarged tonsils bilaterally, and pain with tapping of the left upper incisors. Left frontal sinus does not transilluminate. Cardiopulmonary examination discloses no abnormalities. Which of the following is the most likely underlying mechanism of this patient's sinusitis?","['A. Eustachian tube dysfunction', 'B. Mucosal edema', 'C. Nasal polyps', 'D. Oral contraceptive use']",B. Mucosal edema,professional,medicine
"A 53-year-old man comes to the physician because of a 6-month history of intermittent blood in his stool. He has had no pain with defecation. Physical examination shows a 1-cm, visible anal mass located below the dentate line. A biopsy of the mass is scheduled. If the mass if found to be malignant, it is most appropriate to evaluate which of the following lymph nodes for possible metastasis?","['A. Internal iliac', 'B. Popliteal', 'C. Sacral', 'D. Superficial inguinal']",D. Superficial inguinal,professional,medicine
"A 25-year-old gravida 3 para 2 female is admitted to the hospital at 39 weeks' gestation in active labor. She had been having regular contractions every 4 minutes, but is now having only a few intermittent, weak contractions. She has received medication for pain twice in the past 6 hours. Examination shows no reason for obstructed labor. The fetal head is engaged, the membranes are intact, the fetal heart tones are normal, and the cervix is 100% effaced and 7 cm dilated. The most appropriate management is to","['A. administer an epidural anesthetic', 'B. administer tocolytic therapy', 'C. apply cervical topical corticosteroids', 'D. augment the labor with oxytocin']",D. augment the labor with oxytocin,professional,medicine
"A 7-month-old infant, who was recently discharged from the hospital following an episode of enteritis and dehydration, has persistent watery diarrhea. His mother feeds him cow-milk formula and a variety of strained fruits and vegetables. On physical examination, his temperature is 37.4°C (99.3°F), his mucous membranes are dry, and his abdomen is slightly distended. No other abnormalities are seen. The problem is most likely related to which of the following?","['A. Fructose intolerance', 'B. Transient lactase deficiency', 'C. Magnesium deficiency', 'D. Regional enteritis']",B. Transient lactase deficiency,professional,medicine
"A 15-year-old girl comes to the emergency department because, she says, ""something has been sticking out of my bottom since I had a bowel movement this morning."" She has not had previous episodes, although for more than 1 year she has had occasional difficulty passing stools. She is not in pain but is afraid to move her bowels for fear that the problem will worsen. She tells you that she moved away from home more than a year ago and that her parents contribute nothing to her support. She has a 6-month-old child and lives with a 28-year-old female cousin. She has never been married and does not work or attend school. She has no other symptoms. In order to follow the correct procedure for treating a minor, which of the following is the most appropriate step prior to evaluating this patient's rectal problem?","[""A. Accept the girl's consent as sufficient"", 'B. Obtain a court order permitting evaluation', 'C. Obtain the written consent of at least two licensed physicians', 'D. Obtain written consent from at least one of her parents']",A. Accept the girl's consent as sufficient,professional,medicine
"A previously healthy 40-year-old man is brought to the emergency department because of constant substernal chest pain for 12 hours that is exacerbated by coughing and inspiration. The pain is relieved with sitting up and leaning forward. There is no family history of heart disease. His temperature is 38°C (100.4°F), pulse is 120/min, and blood pressure is 110/60 mm Hg. The lungs are clear to auscultation. Cardiac examination shows distant heart sounds. An ECG shows diffuse ST-segment elevation in all leads. An x-ray of the chest shows normal findings. The most likely cause of his condition is injury to which of the following tissues?","['A. Aortic intima', 'B. Esophageal sphincter', 'C. Myocardium', 'D. Pericardium']",D. Pericardium,professional,medicine
"A 14-year-old girl has had nausea, intermittent diarrhea, and a 2.2-kg (5-lb) weight loss over the past 4 weeks. Examination shows a migrating serpiginous pruritic perianal rash. Her leukocyte count is 8000/mm3 with 20% eosinophils. Which of the following tests is most likely to yield an accurate diagnosis?","['A. Blood smear', 'B. Bone marrow biopsy', 'C. KOH preparation', 'D. Microscopic examination of the stool']",D. Microscopic examination of the stool,professional,medicine
"A 16-month-old girl is brought to the emergency department by emergency medical technicians because of a generalized tonic-clonic seizure that began 25 minutes ago and has continued despite administration of 0.5 mg/kg rectal diazepam 10 minutes ago. The patient was at home at the time of the seizure. In the emergency department, she is given an additional 0.5 mg/kg dose of diazepam intravenously and the convulsion terminates. Within 2 minutes, her oxygen saturation drops to 75% and she appears cyanotic. Respirations are 10/min and shallow. She receives bag-valve-mask ventilation, followed by intubation and mechanical ventilation. Medical history is unremarkable. She takes no medications. Temperature is 39.1°C (102.5°F). Which of the following is the most likely underlying cause of the patient's respiratory insufficiency?","['A. Airway occlusion', 'B. Encephalitis', 'C. Medication-induced suppression of central respiratory drive', 'D. Meningitis']",C. Medication-induced suppression of central respiratory drive,professional,medicine
"A 34-year-old white woman comes to the emergency department because of a persistent dull headache for the past 3 days. She has been taking acetaminophen without relief. She says, ""I haven't slept in 3 days and I am having trouble focusing at work."" There is no history of trauma and she takes no medications. She has smoked one pack of cigarettes daily for 14 years but does not drink alcoholic beverages. Vital signs are temperature 37.5°C (99.5°F), pulse 86/min, respirations 19/min, and blood pressure 182/100 mm Hg. Examination of the head shows no abnormalities. Pupils are equal, round, and reactive to light; there is mild photophobia. Funduscopic examination is normal. A serous effusion is noted on examination of the left tympanic membrane. Neck is stiff with painful flexion; when the patient's neck is flexed forward, she reports and electric shock sensation. Mild expiratory wheezes are heard on auscultation of the chest. A midsystolic click is heard best at the left sternal border; there are no murmurs or gallops. Abdominal examination shows striae, but is otherwise noncontributory. Examination of the lower extremities shows varicosities bilaterally and 1+ edema; muscle strength is 4/5. Neurologic examination shows no other abnormalities. Which of the following physical findings is most indicative of the need for immediate further evaluation?","['A. Abdominal striae', 'B. Expiratory wheezes', 'C. Midsystolic click', 'D. Neck stiffness']",D. Neck stiffness,professional,medicine
"Aronson and Mills examined the effects severity of initiation into a group on subsequent attitudes toward the group. Results of their study indicated that, compared to women who underwent a mild initiation, women who underwent a severe initiation as a precondition of group membership:","['A. rated the group as less interesting and enjoyable.', 'B. rated the group as more interesting and enjoyable.', 'C. were more likely to drop out of the group.', 'D. were more likely to dislike fellow group members.']",B. rated the group as more interesting and enjoyable.,professional,psychology
Which is NOT an example of children actively shaping their own development?,"['A. Children selecting the contexts in which they participate', 'B. Children imposing their subjective appraisal on the context', 'C. Children affecting what takes place in the context', 'D. Children being conditioned to modify their behavior to the context']",D. Children being conditioned to modify their behavior to the context,professional,psychology
A patient wishes to use data from your recent neuropsychological evaluation in a civil hearing in which he is suing the supermarket where he slipped and fell. Which answer should be the first step in fulfilling this request after a release has been duly executed?,"['A. Provide the data and test forms to the patient', 'B. Provide the data and test forms to the patient’s attorney', 'C. Provide the data to an appropriately qualified psychologist as indicated on the release form', 'D. Provide all data and test forms, if contacted directly by the attorney']",C. Provide the data to an appropriately qualified psychologist as indicated on the release form,professional,psychology
"An experimental psychologist with a Ph.D. wants to become a clinical psychologist. According to the APA’s General Guidelines for Providers of Psychological Services, he must:","['A. complete appropriate coursework.', 'B. complete doctoral-level coursework and training in clinical psychology.', 'C. obtain supervision from a licensed clinical psychologist.', 'D. obtain a Ph.D. in clinical psychology from an accredited school.']",B. complete doctoral-level coursework and training in clinical psychology.,professional,psychology
The Ego Autonomous Functions have adaptive functions. The following statements relate to them. In which of the following situations is The Ego Autonomous Function defined incorrectly:,"['A. The Ego Autonomous Function provides opportunities for re-parenting', 'B. The Ego Autonomous Function is involved in resolution of conflict', 'C. The Ego Autonomous Function is focused on helping clients to build more adaptive defenses', 'D. Pathology occurs when ego loses autonomy from id.']",B. The Ego Autonomous Function is involved in resolution of conflict,professional,psychology
"On the basis of his investigation of the relationship between affiliation and anxiety, Schachter concluded that which of the following best accounted for the desire of high-anxiety research participants to wait with other high-anxiety participants?","['A. demand characteristics', 'B. evaluation apprehension', 'C. relief from discomfort', 'D. social comparison']",D. social comparison,professional,psychology
Which of the following statements best exemplifies criterion-referenced (as opposed to norm-referenced) measurement,"['A. Alice answered 63% of the items correctly', 'B. Susan’s score was average for her class', 'C. James ranked at the 86th percentile on the Scholastic Aptitude Test (SAT', 'D. Joe received a z score of 1.6']",A. Alice answered 63% of the items correctly,professional,psychology
Statistical regression is a potential threat to a study’s internal validity when:,"['A. there is a statistically different number of participants in the study’s treatment groups.', 'B. there is a statistically significant difference in the number of participants who drop out of the different treatment groups during the course of the study.', 'C. participants are selected for inclusion in the study because of their extremely high or low scores on the pretest.', 'D. the researcher is unable to randomly assign participants to the different treatment groups.']",C. participants are selected for inclusion in the study because of their extremely high or low scores on the pretest.,professional,psychology
"A psychologist completes an assessment, then refers the patient to another psychologist for therapy. The therapist requests and receives a consultation from the referring psychologist regarding the assessment, and pays for the consultation. This action is","['A. ethical', 'B. unethical', 'C. ethical only if the patient, not the therapist, pays for the consultation', 'D. ethical only if the therapist is being supervised by the referring psychologist']",A. ethical,professional,psychology
Which of the following is NOT a component of Weiner’s attributional style theory?,"['A. Globality/specificity', 'B. Internality/externality', 'C. Equity/inequity', 'D. Stability/instability']",C. Equity/inequity,professional,psychology
"When basic survival needs have been met, money as a motivator","['A. changes to a maintenance factor, increasing as a motivator', 'B. becomes a symbol for the motivator of power', 'C. changes from an equity factor to a control factor', 'D. plays a less predictable, more complex role']","D. plays a less predictable, more complex role",professional,psychology
"In terms of training program evaluation, Kirkpatrick (1976) contends that _______ criteria are the most important criteria to evaluate but are often the most difficult to develop and, therefore, the most infrequently used.","['A. learning', 'B. behavioral', 'C. reaction', 'D. results']",D. results,professional,psychology
A child diagnosed with conduct disorder cannot receive an additional diagnosis of:,"['A. ADHD', 'B. Rett’s disorder', 'C. Oppositional defiant disorder', 'D. Asperger syndrome']",C. Oppositional defiant disorder,professional,psychology
The highest levels of learning and performance are usually associated with:,"['A. low levels of arousal.', 'B. moderate levels of arousal.', 'C. high levels of arousal.', 'D. variability in levels of arousal.']",B. moderate levels of arousal.,professional,psychology
The model that posits that any change in one context or domain of development can disrupt the entire system and prompt a reorganization that leads to more adaptive functioning is ___________.,"['A. The Selective Optimization with Compensation (SOC) model', 'B. The dynamic systems theory', 'C. The cognitive-developmental theory', 'D. The theory of psychosocial development']",B. The dynamic systems theory,professional,psychology
Using your hands to communicate is how you do what?,"['A. sign language', 'B. soft', 'C. cup water', 'D. articulate']",A. sign language,elementary,common sense
Where is a good place for a lawn chair?,"['A. bedroom', 'B. office', 'C. porch', 'D. kitchen']",C. porch,elementary,common sense
What business has a tower to transmit signals?,"['A. city', 'B. toronto', 'C. radio station', 'D. roger that']",C. radio station,elementary,common sense
Where would a person go for a wound that is urgent?,"['A. battle', 'B. hurt', 'C. emergency room', 'D. injured person']",C. emergency room,elementary,common sense
What are ai machines known for doing?,"['A. fly', 'B. milk cows', 'C. eat', 'D. answering questions']",D. answering questions,elementary,common sense
What is a heat source that can be obtained for free?,"['A. gas', 'B. fire', 'C. carbon', 'D. solar energy']",D. solar energy,elementary,common sense
"Mark's semen was very thick, but after his vasectomy it was also what?","['A. blank', 'B. sparse', 'C. thin', 'D. clear']",D. clear,elementary,common sense
Where on the U.S. coast would you find Hollywood?,"['A. california', 'B. denmark', 'C. boulevard', 'D. country']",A. california,elementary,common sense
What must a crab cross to reach the ocean?,"['A. lakes', 'B. shore line', 'C. shallow waters', 'D. tidepools']",B. shore line,elementary,common sense
The oven was left open after turning off to do what?,"['A. roast', 'B. baking food', 'C. cool temperature', 'D. heat']",C. cool temperature,elementary,common sense
What emotion does getting paid lead to?,"['A. sorrow', 'B. paying bills', 'C. happiness', 'D. frustration']",C. happiness,elementary,common sense
Where is known to always have snow?,"['A. africa', 'B. north pole', 'C. roof', 'D. canada']",B. north pole,elementary,common sense
What time period did mammoth's live in?,"['A. ancient times', 'B. museum exhibit', 'C. museum of natural history', 'D. prehistoric times']",D. prehistoric times,elementary,common sense
"The tourists sought out red telephone boxes, where do they look?","['A. call mom', 'B. london', 'C. england', 'D. restaurant']",B. london,elementary,common sense
"A continent is a large area of land, but the globe is mostly covered by an what?","['A. ocean', 'B. australia', 'C. asia', 'D. continent']",A. ocean,elementary,common sense
The animals all knew the importants of fluids.  They also knew what was safe to do what?,"['A. drink', 'B. feel pain', 'C. bite', 'D. fly']",A. drink,elementary,common sense
Where would you get a contraceptive if you do not have one?,"['A. health center', 'B. vagina', 'C. emergency room', 'D. drawer']",A. health center,elementary,common sense
"The hikers were feeling exhaustion, so they sat on a log to what?","['A. read a book', 'B. have rest', 'C. run out of steam', 'D. sit down']",B. have rest,elementary,common sense
"The monger removed the bone, what was he looking to serve?","['A. octopus', 'B. fresh fish', 'C. skeleton', 'D. human body']",B. fresh fish,elementary,common sense
"There is a cave near the capital of Charleston, where is the cave at?","['A. west virginia', 'B. rocky hills', 'C. kentucky', 'D. in a sea']",A. west virginia,elementary,common sense
"The person deposited a check, what was she looking to do?","['A. go to bank', 'B. smell smoke', 'C. bank savings', 'D. promise to do']",C. bank savings,elementary,common sense
Google Maps and other highway and street GPS services have replaced what?,"['A. united states', 'B. mexico', 'C. countryside', 'D. atlas']",D. atlas,elementary,common sense
Female ants don't have wings and can only get around by doing what?,"['A. crawl', 'B. follow one another', 'C. running', 'D. circle food']",A. crawl,elementary,common sense
What is moving cars without looking likely to result in?,"['A. driving', 'B. getting tired', 'C. traffic', 'D. accidents']",D. accidents,elementary,common sense
What might a student do if they really hate school and they'd rather get a job?,"['A. wash dishes', 'B. drop out of school', 'C. do the laundry', 'D. enter school']",B. drop out of school,elementary,common sense
"The man was from north carolina, but he just referred to it simply as what?","['A. carolina', 'B. south', 'C. united states', 'D. south of virginia']",A. carolina,elementary,common sense
"With all the leaves falling each year, a natural compost keeps the soil healthy for all the trees where?","['A. garden', 'B. useful for recycling', 'C. surface of earth', 'D. forest']",D. forest,elementary,common sense
"It was breakfast time.  Brad ordered eggs, toast, and something to drink. What might he drink?","['A. coffee', 'B. throw up', 'C. food', 'D. getting drunk']",A. coffee,elementary,common sense
